StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q10,Q3,Q5,Q6,Q7,Q7_3_TEXT,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever experienced trolling on Facebook?,"What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Selected Choice","What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Other - Text",Did you report it?,How many times do you login or check Facebook?,How much time do you spend on Facebook EACH time you check/login?,"How often do you post on Facebook (Photos, status update, check-ins, etc.)",Which gender do you classify yourself as? - Selected Choice,Which gender do you classify yourself as? - Other - Text,Your Age?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID9""}"
2018-03-30 08:30:15,2018-03-30 08:30:22,Survey Preview,,100,6,True,2018-03-30 08:30:22,R_2X54p6vg7BPVvrw,,,,,39.960998535156,-85.983703613281,preview,EN,No,,,,,,,,,
2018-03-30 08:58:49,2018-03-30 08:58:53,IP Address,185.69.145.177,100,3,True,2018-03-30 08:58:53,R_1hKW77crLDusQjL,,,,,51.496398925781,-0.12240600585938,anonymous,EN,No,,,,,,,,,
2018-03-30 08:59:37,2018-03-30 09:01:08,IP Address,212.236.16.175,100,90,True,2018-03-30 09:01:08,R_2WNiPiNvxOguHYk,,,,,48.449996948242,15.75,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Maybe,10-12 times a day,1-5 minutes (Quickly checking notifications),Sometimes,Female,,18-24
2018-03-30 09:14:57,2018-03-30 09:15:36,IP Address,78.92.3.246,100,39,True,2018-03-30 09:15:36,R_1EaqiIHWweUxPkg,,,,,47.867904663086,17.269897460938,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,10-12 times a day,An hour,Frequently,Female,,18-24
2018-03-30 09:35:06,2018-03-30 09:36:44,IP Address,79.68.160.114,100,98,True,2018-03-30 09:36:45,R_22GmbZ75VAjjLQv,,,,,52.25,-0.88330078125,anonymous,EN,Yes,Personally directed remark,,No,10-12 times a day,10-15 minutes,Rarely or never,Female,,18-24
2018-03-30 09:45:42,2018-03-30 09:46:38,IP Address,14.139.122.146,100,55,True,2018-03-30 09:46:38,R_1M72nI71fMLBuZr,,,,,23.033294677734,72.61669921875,anonymous,EN,Yes,Personally directed remark,,Yes,Once a day,It really depends on the day,Rarely or never,Male,,25-30
2018-03-30 09:58:19,2018-03-30 09:58:27,IP Address,171.76.94.99,100,7,True,2018-03-30 09:58:27,R_1FForwaaXqNaUBJ,,,,,12.983306884766,77.583312988281,anonymous,EN,No,,,,,,,,,
2018-03-30 09:57:52,2018-03-30 09:58:42,IP Address,31.209.99.67,100,50,True,2018-03-30 09:58:42,R_3EPTHke38q73SHv,,,,,35.166702270508,33.36669921875,anonymous,EN,Yes,Personally directed remark,,Yes,10-12 times a day,I have no idea,Rarely or never,Male,,25-30
